Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"10221-1","Star Wars","Ultimate Collector Series",2011,"Super Star Destroyer ",5,3152,349.99,399.99,499.99,,,673419145701,58.5,49,19,,"",1,1,0,,,,,,,,,985.6700,749.8400,"01/09/2011","31/12/2014"
"10266-1","Creator Expert","Space",2019,"NASA Apollo 11 Lunar Lander",2,1087,84.99,99.99,139.99,89.99,5702016368277,673419302432,48,28.2,9.1,,"",1,1,0,,,,,,,,,91.3100,80.5300,"01/06/2019","31/12/2022"
"10281-1","Creator Expert","Botanical Collection",2021,"Bonsai Tree",,878,44.99,49.99,69.99,49.99,5702016914177,,26.2,38.2,7.1,,"",1,1,0,,,,,,,,,52.5000,39.9500,"01/01/2021","31/12/2024"
"10283-1","Creator Expert","Space",2021,"NASA Space Shuttle Discovery",,2354,169.99,199.99,269.99,179.99,5702016914061,673419340298,58.2,48,9.1,,"",1,1,0,,,,,,,,,208.5200,174.9900,"01/04/2021","31/12/2024"
"10289-1","Creator Expert","Botanical Collection",2021,"Bird of Paradise",,1173,89.99,99.99,139.99,99.99,5702016973563,,28.2,48,9.1,,"",1,1,0,,,,,,,,,112.8400,70.1800,"01/06/2021","31/12/2024"
"21309-1","Ideas","NASA",2017,"NASA Apollo Saturn V",,1969,109.99,119.99,149.99,119.99,5702016000078,673419344968,37.8,48,11.2,,"",1,1,0,,,,,,,,,144.5700,90.1100,"01/06/2017","31/12/2019"
"21312-1","Ideas","NASA",2017,"Women of NASA",4,231,19.99,24.99,29.99,24.99,5702016108453,,26.2,19.1,4.6,,"",1,1,0,,,,,,,,,43.5000,31.1200,"01/11/2017","31/12/2018"
"21320-1","Ideas","",2019,"Dinosaur Fossils",2,910,54.99,59.99,79.99,59.99,5702016615586,673419317306,28.2,26.2,9.6,1,"",2,2,0,,,,,,,,,69.1200,45.6300,"01/11/2019","31/12/2021"
"21321-1","Ideas","NASA",2020,"International Space Station",,864,64.99,69.99,99.99,69.99,5702016719062,673419325790,38.2,26.2,7.1,0.61,"",1,1,0,,,,,,,,,74.9200,70.5700,"01/02/2020","31/12/2022"
"30365-1","City","Space",2019,"Space Satellite",1,36,,3.99,6.99,,5702016374810,,17,17,0.7,0.025,"",1,1,0,,,,,,,,,4.3600,2.1700,"01/06/2019","31/12/2020"
"30381-1","Star Wars","Solo",2018,"Imperial TIE Fighter",,42,,,,,,,17,17,1,,"",1,1,0,,,,,,,,,4.8000,3.2900,"20/04/2018","31/12/2019"
"30383-1","Star Wars","Episode I",2019,"Naboo Starfighter",,48,,,,,5702016376166,,17,17,1,,"",1,1,0,,,,,,,,,5.0900,3.8300,"01/04/2019","31/12/2020"
"30497-1","Star Wars","The Last Jedi",2017,"First Order Heavy Assault Walker",,54,,,,,,,17,17,0.9,,"",1,1,0,,,,,,,,,6.3200,3.6800,"01/09/2017","31/12/2018"
